Title:               M2 Money Stock
Series ID:           M2
Source:              Board of Governors of the Federal Reserve System
Release:             H.6 Money Stock Measures
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Weekly, Ending Monday
Units:               Billions of Dollars
Date Range:          1980-11-03 to 2013-04-08
Last Updated:        2013-04-19 8:03 AM CDT
Notes:               M2 includes a broader set of financial assets held principally by
                     households. M2 consists of M1 plus: (1) savings deposits (which
                     include money market deposit accounts, or MMDAs); (2)
                     small-denomination time deposits (time deposits in amounts of less
                     than $100,000); and (3) balances in retail money market mutual funds
                     (MMMFs). Seasonally adjusted M2 is computed by summing savings
                     deposits, small-denomination time deposits, and retail MMMFs, each
                     seasonally adjusted separately, and adding this result to seasonally
                     adjusted M1.

DATE          VALUE
1980-11-03   1591.4
1980-11-10   1592.9
1980-11-17   1596.3
1980-11-24   1597.2
1980-12-01   1596.1
1980-12-08   1597.0
1980-12-15   1599.5
1980-12-22   1599.3
1980-12-29   1595.6
1981-01-05   1596.6
1981-01-12   1600.1
1981-01-19   1606.8
1981-01-26   1609.4
1981-02-02   1608.6
1981-02-09   1614.0
1981-02-16   1618.9
1981-02-23   1623.3
1981-03-02   1626.1
1981-03-09   1630.5
1981-03-16   1636.2
1981-03-23   1640.8
1981-03-30   1646.7
1981-04-06   1652.3
1981-04-13   1658.4
1981-04-20   1663.4
1981-04-27   1664.1
1981-05-04   1663.9
1981-05-11   1663.8
1981-05-18   1662.6
1981-05-25   1663.3
1981-06-01   1666.1
1981-06-08   1666.4
1981-06-15   1669.8
1981-06-22   1672.8
1981-06-29   1671.9
1981-07-06   1678.2
1981-07-13   1677.9
1981-07-20   1683.5
1981-07-27   1685.8
1981-08-03   1688.2
1981-08-10   1694.0
1981-08-17   1695.2
1981-08-24   1697.6
1981-08-31   1701.2
1981-09-07   1702.3
1981-09-14   1707.5
1981-09-21   1708.3
1981-09-28   1707.8
1981-10-05   1714.0
1981-10-12   1719.6
1981-10-19   1722.9
1981-10-26   1725.3
1981-11-02   1727.6
1981-11-09   1732.2
1981-11-16   1736.2
1981-11-23   1736.6
1981-11-30   1743.5
1981-12-07   1749.2
1981-12-14   1751.5
1981-12-21   1755.1
1981-12-28   1753.7
1982-01-04   1756.5
1982-01-11   1761.8
1982-01-18   1766.6
1982-01-25   1769.5
1982-02-01   1773.1
1982-02-08   1771.4
1982-02-15   1774.3
1982-02-22   1775.4
1982-03-01   1778.4
1982-03-08   1781.6
1982-03-15   1786.2
1982-03-22   1789.3
1982-03-29   1793.7
1982-04-05   1800.0
1982-04-12   1805.2
1982-04-19   1806.7
1982-04-26   1806.7
1982-05-03   1805.7
1982-05-10   1809.7
1982-05-17   1812.1
1982-05-24   1816.5
1982-05-31   1821.0
1982-06-07   1823.0
1982-06-14   1826.0
1982-06-21   1826.5
1982-06-28   1824.6
1982-07-05   1827.5
1982-07-12   1829.7
1982-07-19   1831.4
1982-07-26   1835.2
1982-08-02   1838.0
1982-08-09   1842.2
1982-08-16   1847.2
1982-08-23   1851.0
1982-08-30   1854.5
1982-09-06   1857.1
1982-09-13   1860.3
1982-09-20   1862.3
1982-09-27   1861.2
1982-10-04   1865.0
1982-10-11   1866.6
1982-10-18   1870.4
1982-10-25   1874.6
1982-11-01   1879.9
1982-11-08   1882.6
1982-11-15   1886.1
1982-11-22   1888.8
1982-11-29   1889.7
1982-12-06   1892.9
1982-12-13   1893.5
1982-12-20   1911.1
1982-12-27   1918.6
1983-01-03   1928.1
1983-01-10   1944.3
1983-01-17   1956.7
1983-01-24   1966.3
1983-01-31   1977.0
1983-02-07   1987.5
1983-02-14   1994.1
1983-02-21   1999.3
1983-02-28   2006.0
1983-03-07   2010.7
1983-03-14   2011.6
1983-03-21   2015.9
1983-03-28   2019.0
1983-04-04   2023.9
1983-04-11   2025.9
1983-04-18   2025.3
1983-04-25   2028.9
1983-05-02   2037.1
1983-05-09   2038.2
1983-05-16   2042.2
1983-05-23   2043.2
1983-05-30   2045.6
1983-06-06   2049.9
1983-06-13   2053.4
1983-06-20   2053.4
1983-06-27   2055.3
1983-07-04   2061.1
1983-07-11   2065.9
1983-07-18   2066.0
1983-07-25   2069.1
1983-08-01   2071.5
1983-08-08   2070.5
1983-08-15   2072.9
1983-08-22   2073.7
1983-08-29   2074.3
1983-09-05   2078.0
1983-09-12   2078.2
1983-09-19   2080.0
1983-09-26   2084.8
1983-10-03   2087.7
1983-10-10   2093.9
1983-10-17   2096.2
